feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
adipose_E_original_firstorder_TotalEnergy_mean,adipose,E,firstorder,TotalEnergy,mean,0.000868,0.000297,0.00085,0.000887,0.342,457,436.0,235.8,462.0,0.0,0.0,-0.0314,0.636782,higher feature -> lower survival_target
adipose_E_original_firstorder_Mean_mean,adipose,E,firstorder,Mean,mean,0.00086,0.000298,0.000841,0.000878,0.346,458,436.0,235.9,462.0,0.0,0.2,0.0089,0.894055,higher feature -> higher survival_target
adipose_E_original_firstorder_Entropy_mean,adipose,E,firstorder,Entropy,mean,0.000848,0.000278,0.000831,0.000866,0.328,459,440.0,231.0,462.0,0.0,0.0,-0.0005,0.994274,higher feature -> lower survival_target
adipose_E_original_firstorder_RootMeanSquared_mean,adipose,E,firstorder,RootMeanSquared,mean,0.000814,0.000266,0.000797,0.00083,0.327,460,444.0,270.9,463.0,0.0,0.0,-0.0273,0.682325,higher feature -> lower survival_target
urothelium_E_original_firstorder_Range_mean,urothelium,E,firstorder,Range,mean,0.000529,0.000283,0.000512,0.000547,0.535,461,462.0,272.8,467.0,0.0,0.0,0.0849,0.201656,higher feature -> higher survival_target
urothelium_E_original_firstorder_Maximum_std,urothelium,E,firstorder,Maximum,std,0.000525,0.000272,0.000509,0.000542,0.518,462,462.0,284.9,467.0,0.0,0.0,-0.0849,0.201462,higher feature -> lower survival_target
urothelium_E_original_firstorder_Range_std,urothelium,E,firstorder,Range,std,0.000524,0.000276,0.000507,0.000542,0.526,463,462.0,284.9,467.0,0.0,0.0,-0.0849,0.201462,higher feature -> lower survival_target
urothelium_E_original_firstorder_Maximum_mean,urothelium,E,firstorder,Maximum,mean,0.000524,0.000276,0.000507,0.000542,0.526,464,462.0,277.9,467.0,0.0,0.0,0.0849,0.201656,higher feature -> higher survival_target
vessels_E_original_firstorder_Range_mean,vessels,E,firstorder,Range,mean,0.00019,0.00013,0.000181,0.000198,0.687,465,466.0,461.0,468.0,0.0,0.0,0.0216,0.745468,higher feature -> higher survival_target
vessels_E_original_firstorder_Maximum_std,vessels,E,firstorder,Maximum,std,0.000188,0.000126,0.00018,0.000196,0.671,466,466.0,462.0,468.0,0.0,0.0,-0.0216,0.745468,higher feature -> lower survival_target
vessels_E_original_firstorder_Maximum_mean,vessels,E,firstorder,Maximum,mean,0.000188,0.000127,0.00018,0.000196,0.674,467,466.0,461.0,468.0,0.0,0.0,0.0216,0.745468,higher feature -> higher survival_target
vessels_E_original_firstorder_Range_std,vessels,E,firstorder,Range,std,0.000187,0.000125,0.00018,0.000195,0.666,468,466.0,461.0,468.0,0.0,0.0,-0.0216,0.745468,higher feature -> lower survival_target
urothelium_H_original_firstorder_Maximum_mean,urothelium,H,firstorder,Maximum,mean,4e-06,8e-06,3e-06,4e-06,2.161,469,488.0,469.0,504.0,0.0,0.0,0.0263,0.692366,higher feature -> higher survival_target
urothelium_H_original_firstorder_Range_std,urothelium,H,firstorder,Range,std,3e-06,7e-06,3e-06,4e-06,2.133,470,490.0,469.0,504.0,0.0,0.0,-0.0263,0.692366,higher feature -> lower survival_target
urothelium_H_original_firstorder_Maximum_std,urothelium,H,firstorder,Maximum,std,3e-06,8e-06,3e-06,4e-06,2.358,471,491.0,469.0,504.0,0.0,0.0,-0.0263,0.692366,higher feature -> lower survival_target
urothelium_H_original_firstorder_Range_mean,urothelium,H,firstorder,Range,mean,3e-06,7e-06,3e-06,4e-06,2.131,472,490.0,469.0,504.0,0.0,0.0,0.0263,0.692366,higher feature -> higher survival_target
adipose_E_original_firstorder_Range_std,adipose,E,firstorder,Range,std,3e-06,7e-06,2e-06,3e-06,2.53,473,478.0,469.0,499.0,0.0,0.0,0.0336,0.613878,higher feature -> higher survival_target
adipose_E_original_firstorder_Maximum_std,adipose,E,firstorder,Maximum,std,3e-06,6e-06,2e-06,3e-06,2.214,474,478.0,469.0,502.0,0.0,0.0,0.0336,0.613878,higher feature -> higher survival_target
adipose_E_original_firstorder_Range_mean,adipose,E,firstorder,Range,mean,3e-06,7e-06,2e-06,3e-06,2.431,475,477.0,469.0,500.0,0.0,0.0,-0.0336,0.613878,higher feature -> lower survival_target
adipose_E_original_firstorder_Maximum_mean,adipose,E,firstorder,Maximum,mean,3e-06,7e-06,2e-06,3e-06,2.542,476,478.0,469.0,502.0,0.0,0.0,-0.0336,0.613878,higher feature -> lower survival_target
tumor_E_original_firstorder_Maximum_mean,tumor,E,firstorder,Maximum,mean,2e-06,1e-05,2e-06,3e-06,4.228,477,478.0,469.0,503.0,0.0,0.0,0.0251,0.706512,higher feature -> higher survival_target
tumor_E_original_firstorder_Range_mean,tumor,E,firstorder,Range,mean,2e-06,1e-05,2e-06,3e-06,4.164,478,482.0,469.0,504.0,0.0,0.0,0.0251,0.706512,higher feature -> higher survival_target
