feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
tils_H_original_firstorder_RootMeanSquared_std,tils,H,firstorder,RootMeanSquared,std,0.0047,0.002079,0.004571,0.004828,0.442,22,31.5,8.0,173.1,30.8,70.4,-0.2452,0.0,higher feature -> lower survival_target
muscle_E_original_firstorder_Median_std,muscle,E,firstorder,Median,std,0.00456,0.001874,0.004444,0.004676,0.411,23,31.5,7.0,193.0,28.7,71.8,-0.2336,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_MeanAbsoluteDeviation_std,stroma,H,firstorder,MeanAbsoluteDeviation,std,0.004324,0.002069,0.004196,0.004452,0.479,24,40.0,6.0,231.0,27.0,61.0,-0.2206,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Uniformity_mean,adipose,E,firstorder,Uniformity,mean,0.004323,0.001585,0.004224,0.004421,0.367,25,34.0,9.0,149.0,23.2,70.3,-0.0498,0.210058,higher feature -> lower survival_target
dcis_H_original_firstorder_MeanAbsoluteDeviation_mean,dcis,H,firstorder,MeanAbsoluteDeviation,mean,0.00424,0.001815,0.004127,0.004352,0.428,26,38.0,7.0,163.0,22.1,63.1,-0.1594,5.4e-05,higher feature -> lower survival_target
tils_H_original_firstorder_Mean_std,tils,H,firstorder,Mean,std,0.004202,0.00189,0.004085,0.004319,0.45,27,40.0,9.0,213.0,21.7,60.4,-0.2313,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_TotalEnergy_std,adipose,E,firstorder,TotalEnergy,std,0.004177,0.001517,0.004083,0.004272,0.363,28,37.0,10.0,167.1,19.7,67.1,-0.2301,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Energy_std,adipose,E,firstorder,Energy,std,0.004173,0.001502,0.00408,0.004266,0.36,29,36.5,10.0,158.0,19.2,66.6,-0.2301,0.0,higher feature -> lower survival_target
tdlu_H_original_firstorder_InterquartileRange_std,tdlu,H,firstorder,InterquartileRange,std,0.004153,0.001771,0.004043,0.004262,0.426,30,40.0,7.0,200.0,21.0,63.7,-0.2407,0.0,higher feature -> lower survival_target
dcis_H_original_firstorder_Variance_mean,dcis,H,firstorder,Variance,mean,0.004061,0.001741,0.003953,0.004169,0.429,31,43.0,8.0,181.1,19.6,57.5,-0.1554,8.3e-05,higher feature -> lower survival_target
stroma_H_original_firstorder_90Percentile_std,stroma,H,firstorder,90Percentile,std,0.003977,0.001774,0.003868,0.004087,0.446,32,44.0,8.0,218.0,20.2,55.9,-0.227,0.0,higher feature -> lower survival_target
