slide,case,compartment,n_tiles,n_tiles_top1_ge_0.50
TCGA-4Z-AA7W-01Z-00-DX1.9BE6DF4E-480F-483E-8299-D949B5C09B4B_tiles.jsonl,TCGA-4Z-AA7W,Inflammatory infiltrates (immune cells),279,191
TCGA-4Z-AA7W-01Z-00-DX1.9BE6DF4E-480F-483E-8299-D949B5C09B4B_tiles.jsonl,TCGA-4Z-AA7W,Invasive urothelial carcinoma (tumor),19534,18998
TCGA-4Z-AA7W-01Z-00-DX1.9BE6DF4E-480F-483E-8299-D949B5C09B4B_tiles.jsonl,TCGA-4Z-AA7W,Lamina propria (fibrovascular stroma),11650,10435
TCGA-4Z-AA7W-01Z-00-DX1.9BE6DF4E-480F-483E-8299-D949B5C09B4B_tiles.jsonl,TCGA-4Z-AA7W,Muscularis propria (detrusor muscle),8351,7139
TCGA-4Z-AA7W-01Z-00-DX1.9BE6DF4E-480F-483E-8299-D949B5C09B4B_tiles.jsonl,TCGA-4Z-AA7W,Necrosis,2192,2077
TCGA-4Z-AA7W-01Z-00-DX1.9BE6DF4E-480F-483E-8299-D949B5C09B4B_tiles.jsonl,TCGA-4Z-AA7W,Normal urothelium (benign mucosa),3928,3552
TCGA-4Z-AA7W-01Z-00-DX1.9BE6DF4E-480F-483E-8299-D949B5C09B4B_tiles.jsonl,TCGA-4Z-AA7W,Perivesical adipose tissue (extravesical fat),6672,6304
TCGA-4Z-AA7Y-01Z-00-DX1.5771D5DA-5163-4F6C-A99A-DA682D3F059F_tiles.jsonl,TCGA-4Z-AA7Y,Blood vessels (vasculature),12934,12001
TCGA-4Z-AA7Y-01Z-00-DX1.5771D5DA-5163-4F6C-A99A-DA682D3F059F_tiles.jsonl,TCGA-4Z-AA7Y,Inflammatory infiltrates (immune cells),534,390
TCGA-4Z-AA7Y-01Z-00-DX1.5771D5DA-5163-4F6C-A99A-DA682D3F059F_tiles.jsonl,TCGA-4Z-AA7Y,Invasive urothelial carcinoma (tumor),16488,16189
TCGA-4Z-AA7Y-01Z-00-DX1.5771D5DA-5163-4F6C-A99A-DA682D3F059F_tiles.jsonl,TCGA-4Z-AA7Y,Lamina propria (fibrovascular stroma),4301,3628
TCGA-4Z-AA7Y-01Z-00-DX1.5771D5DA-5163-4F6C-A99A-DA682D3F059F_tiles.jsonl,TCGA-4Z-AA7Y,Muscularis propria (detrusor muscle),9193,8189
TCGA-4Z-AA7Y-01Z-00-DX1.5771D5DA-5163-4F6C-A99A-DA682D3F059F_tiles.jsonl,TCGA-4Z-AA7Y,Necrosis,144,124
TCGA-4Z-AA7Y-01Z-00-DX1.5771D5DA-5163-4F6C-A99A-DA682D3F059F_tiles.jsonl,TCGA-4Z-AA7Y,Normal urothelium (benign mucosa),3613,3379
TCGA-4Z-AA7Y-01Z-00-DX1.5771D5DA-5163-4F6C-A99A-DA682D3F059F_tiles.jsonl,TCGA-4Z-AA7Y,Perivesical adipose tissue (extravesical fat),3993,3710
TCGA-4Z-AA80-01Z-00-DX1.303549D2-42A5-46C4-AD9D-D72337B416E5_tiles.jsonl,TCGA-4Z-AA80,Blood vessels (vasculature),5504,5126
TCGA-4Z-AA80-01Z-00-DX1.303549D2-42A5-46C4-AD9D-D72337B416E5_tiles.jsonl,TCGA-4Z-AA80,Inflammatory infiltrates (immune cells),625,501
