feature,region,perm_mean,perm_std,impurity_mean
muscularis_E_original_firstorder_Entropy_mean,muscularis,3.1658931569245044e-05,0.0002605710160580792,0.001585
necrosis_H_original_firstorder_TotalEnergy_mean,necrosis,3.136472145059965e-05,0.00015186468056050867,0.001888
lamina_E_original_firstorder_Median_std,lamina,2.9275977371001626e-05,8.977349340908011e-05,0.001458
urothelium_E_original_firstorder_Median_mean,urothelium,2.666661371691914e-05,0.00010392927143216516,0.001269
tumor_E_original_firstorder_InterquartileRange_mean,tumor,2.4704316905987955e-05,0.00024221627341079383,0.001777
tumor_E_original_firstorder_RootMeanSquared_mean,tumor,2.3931635226914772e-05,0.00013173183923214548,0.001656
tumor_E_original_firstorder_Maximum_std,tumor,2.3495533664663615e-05,1.159501069718537e-05,4e-06
muscularis_H_original_firstorder_MeanAbsoluteDeviation_std,muscularis,1.9376174209095875e-05,0.0002245920273069274,0.001471
tumor_E_original_firstorder_Range_std,tumor,1.931527878833439e-05,9.142930342080828e-06,4e-06
immune_E_original_firstorder_Entropy_mean,immune,1.854462179415872e-05,0.00036146490037772906,0.00116
lamina_H_original_firstorder_MeanAbsoluteDeviation_mean,lamina,1.6500287829745997e-05,0.00026109548387442884,0.00185
vessels_E_original_firstorder_Mean_mean,vessels,1.623109622432839e-05,4.8218388165683805e-05,0.000935
lamina_H_original_firstorder_TotalEnergy_std,lamina,1.464156067075839e-05,0.00018460614967885652,0.001101
adipose_E_original_firstorder_Energy_std,adipose,9.710149167940773e-06,0.00012145186414033532,0.001247
vessels_E_original_firstorder_90Percentile_mean,vessels,9.61100200057574e-06,8.680406099058791e-05,0.000899
