feature,region,perm_mean,perm_std,impurity_mean
tdlu_E_original_firstorder_MeanAbsoluteDeviation_mean,tdlu,6.326915177867765e-05,0.00029533922973268544,0.001492
tumor_H_original_firstorder_Energy_mean,tumor,6.216599901648356e-05,9.561790965875317e-05,0.000997
dcis_E_original_firstorder_TotalEnergy_std,dcis,6.188881744138009e-05,0.0001598298387249503,0.001997
dcis_E_original_firstorder_Kurtosis_std,dcis,5.798592778314404e-05,0.0003744042021871628,0.001693
adipose_E_original_firstorder_Kurtosis_mean,adipose,5.5855010775252015e-05,0.00013892548122864474,0.001611
stroma_H_original_firstorder_90Percentile_mean,stroma,5.5848912464240286e-05,0.0001602237769109916,0.001395
tumor_H_original_firstorder_Entropy_mean,tumor,5.514715575443141e-05,0.00017844297203217132,0.001167
dcis_E_original_firstorder_90Percentile_mean,dcis,5.4883796452531716e-05,7.380074070213489e-05,0.001484
adipose_E_original_firstorder_90Percentile_mean,adipose,5.0758344048684735e-05,0.00011700208267099676,0.001246
muscle_E_original_firstorder_MeanAbsoluteDeviation_mean,muscle,5.0562756726468815e-05,0.00024781731948142347,0.001416
adipose_H_original_firstorder_Energy_mean,adipose,4.8633888516680376e-05,0.00010224742954598668,0.002364
vessels_H_original_firstorder_TotalEnergy_std,vessels,4.228246515484146e-05,5.39233666882774e-05,0.001186
tumor_H_original_firstorder_10Percentile_mean,tumor,4.044041617101701e-05,0.0005274475382128322,0.003022
muscle_E_original_firstorder_Maximum_mean,muscle,3.948343079109851e-05,5.114760944301821e-05,0.000338
vessels_E_original_firstorder_Range_std,vessels,3.863443780384168e-05,1.877866064920423e-05,0.000182
tils_E_original_firstorder_Entropy_mean,tils,3.084043550667381e-05,0.0006001684252882296,0.001691
tdlu_H_original_firstorder_Range_std,tdlu,3.054395453544467e-05,4.344233444766788e-06,0.000471
dcis_H_original_firstorder_Kurtosis_std,dcis,3.0192240015647353e-05,0.00025698539334555317,0.001408
muscle_E_original_firstorder_Median_mean,muscle,2.9808063286884678e-05,0.00016540284460413344,0.001356
tdlu_E_original_firstorder_Entropy_mean,tdlu,2.571573892745649e-05,0.00017977345948506877,0.001139
tdlu_E_original_firstorder_Range_std,tdlu,2.5366470133847407e-05,9.37276002923433e-06,3.9e-05
dcis_H_original_firstorder_Energy_std,dcis,2.50527764859676e-05,0.00019151622867139587,0.001823
vessels_H_original_firstorder_Range_mean,vessels,2.5018716279201492e-05,1.8697421517661754e-06,1.4e-05
adipose_E_original_firstorder_Range_std,adipose,2.4849947431881957e-05,6.345693529717776e-06,0.000213
stroma_E_original_firstorder_10Percentile_mean,stroma,2.3461263076474116e-05,0.00019508566396283153,0.001216
tdlu_H_original_firstorder_Maximum_mean,tdlu,2.31560305026135e-05,7.516655277110914e-06,0.000474
tumor_H_original_firstorder_InterquartileRange_std,tumor,2.181860412131531e-05,0.00032910561063319017,0.002969
muscle_H_original_firstorder_Range_std,muscle,2.1516431193491227e-05,2.87581969037658e-06,1.7e-05
muscle_H_original_firstorder_Energy_std,muscle,1.8142218356287377e-05,0.00012609339151036737,0.001109
vessels_E_original_firstorder_90Percentile_mean,vessels,1.753326114412035e-05,0.00023094866343656556,0.001143
muscle_H_original_firstorder_InterquartileRange_mean,muscle,1.6259666938278626e-05,0.0001909686262701944,0.00128
tils_E_original_firstorder_MeanAbsoluteDeviation_mean,tils,1.621077319576836e-05,0.00017527120920813257,0.00114
adipose_E_original_firstorder_Entropy_mean,adipose,1.5239831083102563e-05,0.0002119366679342492,0.001824
tdlu_H_original_firstorder_Range_mean,tdlu,1.5232085085570279e-05,4.829261037082834e-06,0.000476
vessels_H_original_firstorder_Mean_std,vessels,1.4563817721569005e-05,0.0003553858687674145,0.001142
tumor_E_original_firstorder_Entropy_mean,tumor,1.3927031152605185e-05,0.00040469477859055963,0.001149
adipose_E_original_firstorder_Maximum_std,adipose,1.1177409769436153e-05,1.1841314652301936e-05,0.000216
adipose_E_original_firstorder_Maximum_mean,adipose,9.90038908137425e-06,7.605221256416726e-06,0.000208
stroma_H_original_firstorder_Energy_std,stroma,9.118958445641923e-06,0.00032301163085791105,0.003121
adipose_H_original_firstorder_RootMeanSquared_mean,adipose,6.122839388211787e-06,0.00013617085661138105,0.002636
vessels_E_original_firstorder_Maximum_std,vessels,5.905477438361561e-06,1.808393940862294e-05,0.000181
dcis_H_original_firstorder_Range_std,dcis,5.614355234018209e-06,4.780317424860651e-06,0.000166
dcis_H_original_firstorder_Maximum_std,dcis,5.209288702123782e-06,3.690900499478054e-06,0.000167
muscle_E_original_firstorder_Range_mean,muscle,4.5553361006089865e-06,4.954398326824092e-05,0.000337
tils_E_original_firstorder_Maximum_mean,tils,3.6318452556027834e-06,2.486895540478892e-06,0.000164
tdlu_H_original_firstorder_Maximum_std,tdlu,2.927674313513151e-06,5.597619644097197e-06,0.00047
tils_E_original_firstorder_Range_mean,tils,2.9024174108993607e-06,1.903680531324758e-06,0.000162
tumor_E_original_firstorder_Energy_mean,tumor,2.6464617811305936e-06,0.00017108029737389176,0.001501
tils_E_original_firstorder_Maximum_std,tils,2.3884855989697584e-06,5.177884726496581e-06,0.000165
stroma_E_original_firstorder_Range_mean,stroma,2.139645121101985e-06,5.553321600878507e-06,0.0
tdlu_E_original_firstorder_Mean_mean,tdlu,1.925358081789064e-06,9.906574603646424e-05,0.00119
tdlu_E_original_firstorder_Maximum_std,tdlu,1.9146580848117266e-06,4.21111896432166e-06,3.9e-05
muscle_H_original_firstorder_TotalEnergy_std,muscle,1.8615201055061092e-06,0.00010561462691486102,0.001115
vessels_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,vessels,1.5451206190730816e-06,0.00015426277379557772,0.001143
vessels_H_original_firstorder_Maximum_mean,vessels,1.416150786393011e-06,7.482298969087342e-07,1.4e-05
muscle_H_original_firstorder_Maximum_mean,muscle,1.3823074569097039e-06,6.186617163933689e-06,1.7e-05
muscle_H_original_firstorder_Energy_mean,muscle,7.198424504140099e-07,7.138535493413748e-05,0.001157
stroma_E_original_firstorder_Range_std,stroma,3.9165741561042466e-07,2.61782437884994e-07,1e-06
stroma_E_original_firstorder_Maximum_std,stroma,2.5985842255771274e-08,7.795752669329895e-08,1e-06
tumor_H_original_firstorder_Range_std,tumor,0.0,0.0,0.0
adipose_H_original_firstorder_Maximum_std,adipose,0.0,0.0,0.0
tumor_H_original_firstorder_Maximum_std,tumor,0.0,0.0,0.0
adipose_E_original_firstorder_Range_mean,adipose,-3.6343544218553345e-08,7.570654677653431e-07,0.000206
adipose_H_original_firstorder_Range_std,adipose,-5.8992435381099995e-08,1.7697730614329998e-07,0.0
dcis_H_original_firstorder_Maximum_mean,dcis,-3.950804069563496e-07,1.6237324535951822e-06,0.000169
stroma_E_original_firstorder_Maximum_mean,stroma,-7.530823365353711e-07,8.999167227216824e-07,1e-06
tdlu_E_original_firstorder_Range_mean,tdlu,-1.4794551279395662e-06,8.01784033374861e-06,3.9e-05
dcis_E_original_firstorder_Maximum_std,dcis,-3.0202221861896915e-06,0.00013862514355559498,0.000973
muscle_H_original_firstorder_Maximum_std,muscle,-3.6975007534967296e-06,6.847988176508364e-06,1.6e-05
tils_E_original_firstorder_Range_std,tils,-4.3936358846141665e-06,4.380088556126061e-06,0.000164
vessels_H_original_firstorder_Median_std,vessels,-5.2057788115345e-06,0.00017731334860085718,0.001127
muscle_H_original_firstorder_Range_mean,muscle,-7.268619037625878e-06,1.4761631417972329e-06,1.7e-05
stroma_E_original_firstorder_InterquartileRange_mean,stroma,-7.962677383022144e-06,0.00046896549107042093,0.002257
tdlu_E_original_firstorder_Maximum_mean,tdlu,-9.14034646029016e-06,1.9076237443542623e-05,4e-05
vessels_H_original_firstorder_Range_std,vessels,-9.212982394035674e-06,2.6254410317403137e-06,1.5e-05
dcis_H_original_firstorder_Range_mean,dcis,-9.696661372793347e-06,2.38961076928324e-06,0.00017
vessels_E_original_firstorder_Range_mean,vessels,-9.96455852999567e-06,1.9104558278604588e-05,0.000182
muscle_H_original_firstorder_InterquartileRange_std,muscle,-1.0759207812549576e-05,0.00031542784365303747,0.001383
tils_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,tils,-1.2879120423758828e-05,0.00015915799496406984,0.001216
tdlu_E_original_firstorder_10Percentile_std,tdlu,-1.4551714495247836e-05,0.00017937289249356935,0.001394
adipose_E_original_firstorder_Energy_mean,adipose,-1.8262113238376455e-05,0.0001418476855170784,0.001356
tils_E_original_firstorder_Energy_mean,tils,-1.9147862098745085e-05,0.00015469018074998009,0.001963
vessels_H_original_firstorder_90Percentile_mean,vessels,-2.0577223044493387e-05,0.00012346013844908787,0.001049
vessels_E_original_firstorder_Entropy_mean,vessels,-2.2044514244523582e-05,0.0001539550905746213,0.001166
vessels_E_original_firstorder_Maximum_mean,vessels,-2.464696126833754e-05,2.6069705813707116e-05,0.000182
