feature,region,coef,hr,p,q
adipose_E_original_glcm_ClusterProminence_mean,adipose,-0.16158888368171095,0.8507909066763668,0.05811826219669015,0.3532760080670237
muscularis_H_original_glcm_ClusterProminence_std,muscularis,0.11961142959218013,1.1270588247755802,0.05916503902674205,0.35708828518976937
necrosis_H_original_glcm_DifferenceEntropy_mean,necrosis,0.15380112589326522,1.1662589250116764,0.060226126418719196,0.36093263086147914
urothelium_E_original_firstorder_MeanAbsoluteDeviation_std,urothelium,-0.15180292562564238,0.8591575820010531,0.06093659483341657,0.3622343361008056
tumor_H_original_firstorder_90Percentile_mean,tumor,0.1442900111466713,1.1552190863608047,0.06184780022314018,0.3622343361008056
vessels_H_original_glcm_SumSquares_mean,vessels,0.1366188710366516,1.1463911423801525,0.062097654221195196,0.3622343361008056
muscularis_H_original_firstorder_Skewness_std,muscularis,-0.18042865169865221,0.8349122481425797,0.06214596130519109,0.3622343361008056
urothelium_E_original_glcm_MaximumProbability_mean,urothelium,-0.15164359150510506,0.8592944860252357,0.0636778078232507,0.3686381935890228
necrosis_H_original_firstorder_Variance_mean,necrosis,0.14016587915056006,1.1504646211241734,0.06453224265555936,0.3710603952694663
urothelium_E_original_firstorder_Uniformity_mean,urothelium,-0.1538478700424805,0.8574024476882475,0.0664657884936177,0.3778367860195654
vessels_E_original_firstorder_Skewness_std,vessels,-0.17829433061014427,0.8366961219634242,0.06685202736671023,0.3778367860195654
adipose_E_original_firstorder_Variance_mean,adipose,-0.15205772493387912,0.8589386971305338,0.06704271996351865,0.3778367860195654
tumor_H_original_firstorder_Median_mean,tumor,0.1404106844754679,1.1507462954658254,0.0678448217516695,0.3798417323070444
tumor_H_original_glcm_DifferenceEntropy_mean,tumor,0.14606310204286135,1.157269211798203,0.06896716054687614,0.38115170924839975
tumor_H_original_glcm_JointEntropy_mean,tumor,0.14426942985584318,1.1551953107054858,0.06989646481744899,0.38115170924839975
urothelium_H_original_firstorder_90Percentile_std,urothelium,-0.1459119170045485,0.8642338241361133,0.07042836073830315,0.38115170924839975
tumor_H_original_firstorder_Entropy_std,tumor,-0.1508274280122303,0.8599960970900801,0.07091085835950357,0.38115170924839975
necrosis_H_original_firstorder_Energy_mean,necrosis,0.13233005851126792,1.1414850139425101,0.07206308972474831,0.38115170924839975
