feature,region,coef,hr,p,q
stroma_E_original_firstorder_Entropy_std,stroma,-0.17240823580346934,0.8416355172753296,0.0485575842368864,0.3215418206831641
adipose_E_original_glcm_ClusterTendency_std,adipose,-0.18262930541809613,0.8330769156046741,0.04982834352450931,0.3215418206831641
adipose_E_original_firstorder_Uniformity_mean,adipose,-0.18715522831307,0.8293149932259686,0.050109113812601865,0.3215418206831641
stroma_E_original_firstorder_Variance_mean,stroma,0.15036483550137875,1.1622581984390925,0.05023037694630406,0.3215418206831641
tdlu_E_original_glcm_SumSquares_mean,tdlu,0.1572187867445708,1.1702516214369476,0.050887187642402014,0.3215418206831641
tumor_E_original_glcm_SumSquares_mean,tumor,0.14753656352615058,1.158975660291911,0.05130016773803414,0.3215418206831641
tdlu_E_original_glcm_ClusterTendency_mean,tdlu,0.15630690412360707,1.1691849757229615,0.051432619329228026,0.3215418206831641
muscle_E_original_glcm_Imc2_mean,muscle,0.18746606747615885,1.206189319678713,0.051561084700870105,0.3215418206831641
tumor_E_original_firstorder_InterquartileRange_mean,tumor,0.15428123199636046,1.1668189874733086,0.05181620153506958,0.3215418206831641
tils_H_original_firstorder_Variance_std,tils,-0.24692491949137493,0.781199344173687,0.05182043089709778,0.3215418206831641
tils_E_original_glcm_DifferenceEntropy_std,tils,-0.1660781821280928,0.8469800129009121,0.05213251475409983,0.3215418206831641
dcis_E_original_glcm_SumEntropy_mean,dcis,0.1661967651027827,1.1808054201663107,0.05218164404229635,0.3215418206831641
tumor_E_original_glcm_ClusterTendency_mean,tumor,0.14573813139315975,1.1568931943711884,0.05326612645351378,0.3250842928125972
stroma_E_original_glcm_JointEnergy_std,stroma,-0.16711341287568154,0.8461036468477732,0.05352562184020966,0.3250842928125972
tumor_E_original_glcm_DifferenceAverage_mean,tumor,0.1719675477121302,1.1876392909763611,0.05387111138037325,0.3250842928125972
muscle_E_original_glcm_SumEntropy_mean,muscle,0.17168539046900425,1.1873042372193363,0.0547711872513536,0.3257907253990462
vessels_E_original_glcm_Imc1_mean,vessels,-0.172729895266169,0.8413648407822153,0.054917630759454945,0.3257907253990462
stroma_E_original_firstorder_90Percentile_mean,stroma,0.15384071065756177,1.1663050920100804,0.05527642786035351,0.3257907253990462
stroma_E_original_glcm_SumEntropy_std,stroma,-0.16544295804429138,0.8475182059220924,0.05747775420065963,0.3257907253990462
stroma_H_original_firstorder_Energy_std,stroma,-0.1834955474386739,0.8323555818439171,0.05760061240925677,0.3257907253990462
stroma_H_original_firstorder_TotalEnergy_std,stroma,-0.1834955474386739,0.8323555818439171,0.05760061240925677,0.3257907253990462
stroma_H_original_glcm_SumAverage_std,stroma,-0.16702777998244756,0.8461761042533529,0.05813140345320916,0.3257907253990462
stroma_H_original_glcm_JointAverage_std,stroma,-0.16702777998244744,0.846176104253353,0.058131403453209364,0.3257907253990462
tdlu_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,tdlu,0.15653981892453384,1.1694573279250269,0.05832466578057768,0.3257907253990462
vessels_H_original_firstorder_MeanAbsoluteDeviation_std,vessels,-0.16549753569813355,0.8474719516290615,0.058481529291231966,0.3257907253990462
tdlu_E_original_glcm_ClusterProminence_mean,tdlu,0.15037044829600246,1.1622647219739677,0.058528581074289626,0.3257907253990462
muscle_E_original_firstorder_Entropy_mean,muscle,0.16627586709548095,1.1808988279223558,0.05951277966758201,0.3257907253990462
stroma_H_original_firstorder_90Percentile_std,stroma,-0.1673191061536051,0.8459296269131689,0.05955526456846552,0.3257907253990462
tdlu_E_original_firstorder_InterquartileRange_mean,tdlu,0.15443121361293508,1.1669940019954523,0.05956547626623184,0.3257907253990462
dcis_E_original_glcm_JointEntropy_mean,dcis,0.16055718917930228,1.1741649207487228,0.059611014908836406,0.3257907253990462
tdlu_E_original_firstorder_Variance_mean,tdlu,0.1513663551841614,1.1634228059926528,0.06026860828564138,0.3257907253990462
stroma_H_original_glcm_Autocorrelation_std,stroma,-0.1784634946703181,0.8365545950212747,0.06031782573102341,0.3257907253990462
dcis_E_original_firstorder_Median_mean,dcis,0.14340686389527854,1.1541993081733617,0.06124381574873288,0.32876281460209367
tumor_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,tumor,0.1484282345643178,1.1600095461966915,0.062451126434060096,0.33319960749879624
dcis_E_original_firstorder_Entropy_mean,dcis,0.1574072709983225,1.1704722162291852,0.06421943163905895,0.3387217770979803
stroma_E_original_firstorder_Skewness_std,stroma,-0.1998086456518782,0.8188874357580023,0.06460097602808555,0.3387217770979803
adipose_H_original_glcm_MaximumProbability_mean,adipose,-0.16331864942273358,0.8493205098009248,0.06480472865115773,0.3387217770979803
muscle_E_original_glcm_JointEntropy_mean,muscle,0.16663266617117634,1.1813202467090944,0.06507071520364548,0.3387217770979803
tils_E_original_firstorder_Variance_mean,tils,0.13531519291947144,1.144897591100696,0.06549267181874989,0.3387217770979803
tdlu_E_original_firstorder_Skewness_std,tdlu,-0.20539437805977634,0.8143261007277386,0.0658088024076076,0.3387217770979803
tils_E_original_firstorder_10Percentile_std,tils,0.14891105667481852,1.1605697596848337,0.06703938202181053,0.34303777350341647
muscle_E_original_glcm_MaximumProbability_mean,muscle,-0.16586312240880371,0.8471621837728363,0.06760859968562774,0.3439390972379318
muscle_E_original_firstorder_Uniformity_mean,muscle,-0.16642276405572431,0.8466882091734341,0.06835068177874278,0.34570431535491286
adipose_H_original_glcm_JointEnergy_mean,adipose,-0.1631829762686408,0.8494357476104869,0.06885917373792072,0.3462745805786243
dcis_E_original_firstorder_Uniformity_mean,dcis,-0.15712467332353114,0.8545975066642802,0.06957260145677004,0.34786300728385017
tdlu_H_original_firstorder_Entropy_std,tdlu,-0.16454535228099942,0.848279284671459,0.07025725240039396,0.34928085618524135
stroma_E_original_glcm_ClusterProminence_mean,stroma,0.13037842459177168,1.1392594255440234,0.0706545274797574,0.34928085618524135
tils_E_original_glcm_Imc2_std,tils,-0.15675104857257538,0.8549168651012683,0.07224720185140997,0.3532752911174826
tils_E_original_firstorder_Entropy_std,tils,-0.15089270833127955,0.8599399581028864,0.07258619426378117,0.3532752911174826
vessels_E_original_glcm_Imc2_std,vessels,-0.15408003789557936,0.8572034095087534,0.07297318813991006,0.3532752911174826
dcis_E_original_glcm_Correlation_mean,dcis,0.16181771236346476,1.1756459160717285,0.07320400868043819,0.3532752911174826
dcis_E_original_glcm_JointEnergy_mean,dcis,-0.1558042979297935,0.8557266414604863,0.0734812605524364,0.3532752911174826
stroma_H_original_glcm_SumEntropy_std,stroma,-0.1586821805671384,0.8532675008729729,0.07432546662184526,0.35538132947603607
adipose_H_original_firstorder_Mean_mean,adipose,0.14705877877317994,1.1584220516557737,0.07546479350903045,0.35822398916401155
tils_E_original_glcm_JointEntropy_std,tils,-0.1474015953029584,0.8629473522161015,0.07603135425398032,0.35822398916401155
adipose_E_original_glcm_DifferenceEntropy_mean,adipose,0.1673873688888902,1.1822121288203697,0.07614818512514988,0.35822398916401155
dcis_E_original_glcm_MCC_mean,dcis,0.16088923687209206,1.1745548642379473,0.07737586511451693,0.36056072601538136
muscle_E_original_glcm_JointEnergy_mean,muscle,-0.1629310574313936,0.8496497634325179,0.07832643602025234,0.36056072601538136
vessels_E_original_firstorder_Kurtosis_mean,vessels,-0.3531889164395191,0.7024444775318786,0.07889777719216598,0.36056072601538136
tils_E_original_glcm_SumEntropy_std,tils,-0.14746442491049555,0.862893135275869,0.07981111316846838,0.36056072601538136
tils_H_original_glcm_ClusterShade_std,tils,-0.24174077379092188,0.7852597110681208,0.07987796175841551,0.36056072601538136
adipose_H_original_firstorder_Skewness_mean,adipose,-0.1694826480324263,0.8441014011734297,0.07993750998055806,0.36056072601538136
vessels_H_original_firstorder_Variance_std,vessels,-0.15472522044778741,0.8566505351968532,0.0800262742336738,0.36056072601538136
vessels_H_original_firstorder_RobustMeanAbsoluteDeviation_std,vessels,-0.14895612866257588,0.8616069139174529,0.08019213504277214,0.36056072601538136
dcis_E_original_firstorder_Mean_mean,dcis,0.13718423941263883,1.1470394589301345,0.08075915406620462,0.36056072601538136
tdlu_H_original_glcm_SumEntropy_std,tdlu,-0.15838839609875685,0.8535182144381765,0.08109339191317425,0.36056072601538136
adipose_H_original_firstorder_Uniformity_mean,adipose,-0.15426491261862016,0.8570449489139614,0.08117767202860586,0.36056072601538136
adipose_H_original_glcm_DifferenceEntropy_mean,adipose,0.15820543079038493,1.1714068130190791,0.08209452892837107,0.3627914788501247
adipose_H_original_glcm_JointEntropy_mean,adipose,0.15297271925921563,1.1652931884476938,0.08366349840880206,0.36683566091654635
stroma_H_original_firstorder_MeanAbsoluteDeviation_std,stroma,-0.15708262621932373,0.8546334407701557,0.08427706329847462,0.36683566091654635
stroma_H_original_firstorder_Variance_std,stroma,-0.16162691716340347,0.8507585487513397,0.08451343053286892,0.36683566091654635
adipose_H_original_glcm_SumEntropy_mean,adipose,0.1513439024856204,1.1633966843043664,0.08558090534280982,0.36683566091654635
adipose_E_original_firstorder_Entropy_mean,adipose,0.1547938836435443,1.1674173125022542,0.08634508748249865,0.36683566091654635
tumor_E_original_firstorder_Variance_mean,tumor,0.13087462794547203,1.1398248701678706,0.08645967093570413,0.36683566091654635
stroma_E_original_firstorder_RootMeanSquared_mean,stroma,0.13672716577466915,1.1465152972311192,0.08663039895203328,0.36683566091654635
dcis_E_original_glcm_JointAverage_mean,dcis,0.1326275822004859,1.1418246833023802,0.0871934744768796,0.36683566091654635
dcis_E_original_glcm_SumAverage_mean,dcis,0.1326275822004859,1.1418246833023802,0.08719347447687961,0.36683566091654635
